Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1nF","C_1206_3216Metric",75.600000,-75.449660,90.000000,top
"C2","4.7uF","C_0402_1005Metric",77.200000,-70.500000,-90.000000,top
"C3","100n","C_0402_1005Metric",74.800000,-66.100000,180.000000,top
"C4","100n","C_0402_1005Metric",77.200000,-67.900000,-90.000000,top
"C5","4.7uF","C_0402_1005Metric",76.600000,-72.300000,180.000000,top
"C6","100n","C_0402_1005Metric",76.600000,-66.100000,0.000000,top
"C7","10uF","C_0603_1608Metric",85.840000,-71.990000,0.000000,top
"C8","10uF","C_0603_1608Metric",88.790000,-72.000000,180.000000,top
"C9","1uF","C_0402_1005Metric",86.050000,-56.100000,90.000000,top
"C10","22uF","C_0603_1608Metric",85.850000,-66.430000,180.000000,top
"C11","4.7uF","C_0402_1005Metric",76.050000,-56.050000,90.000000,top
"C12","22uF","C_0603_1608Metric",88.820000,-66.430000,0.000000,top
"C13","4.7uF","C_0402_1005Metric",81.050000,-56.100000,-90.000000,top
"D1","RED (VBUS)","LED_0603_1608Metric",73.500000,-81.100000,0.000000,top
"D2","YLW (TX)","LED_0603_1608Metric",82.600000,-81.100000,0.000000,top
"D3","GRN (RX)","LED_0603_1608Metric",78.100000,-81.100000,0.000000,top
"D4","WHT (VCC)","LED_0603_1608Metric",87.100000,-81.100000,0.000000,top
"FB1","600R@100MHz","L_0805_2012Metric",82.140000,-47.660000,-90.000000,top
"H3","ToolingHole","ToolingHole_JLCSMT",72.000000,-43.600000,0.000000,top
"H4","ToolingHole","ToolingHole_JLCSMT",90.100000,-81.100000,0.000000,top
"J1","USB_C_Receptacle","USB_Type_C_Straight_C168703",81.050000,-75.439660,0.000000,top
"L1","2.2uH","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",85.320000,-69.000000,90.000000,top
"Q1","MMBT3904","SOT-23",83.550000,-56.100000,90.000000,top
"Q2","AO3400A","SOT-23",88.550000,-56.100000,90.000000,top
"Q3","DNP (AO3401A)","SOT-23",73.550000,-56.062500,90.000000,top
"R1","100k HV","R_1206_3216Metric",86.500000,-75.429660,90.000000,top
"R2","22k","R_0402_1005Metric",73.300000,-74.200000,-90.000000,top
"R3","47k","R_0402_1005Metric",71.800000,-74.200000,90.000000,top
"R4","5.1 kR","R_0402_1005Metric",88.800000,-74.200000,90.000000,top
"R5","5.1 kR","R_0402_1005Metric",90.300000,-74.200000,-90.000000,top
"R6","4.7k","R_0402_1005Metric",72.900000,-66.100000,180.000000,top
"R7","5.1k","R_0402_1005Metric",71.800000,-76.700000,90.000000,top
"R8","10k","R_0402_1005Metric",74.800000,-72.300000,0.000000,top
"R9","100k","R_0402_1005Metric",78.550000,-57.800000,-90.000000,top
"R10","100k","R_0402_1005Metric",83.550000,-57.800000,-90.000000,top
"R11","5.1k","R_0402_1005Metric",88.800000,-76.700000,90.000000,top
"R12","5.1k","R_0402_1005Metric",73.300000,-76.700000,90.000000,top
"R13","100k","R_0402_1005Metric",88.550000,-57.800000,-90.000000,top
"R14","10k","R_0402_1005Metric",72.900000,-72.300000,180.000000,top
"R15","5.1k","R_0402_1005Metric",90.300000,-76.700000,90.000000,top
"R16","120k","R_0402_1005Metric",73.550000,-57.750000,-90.000000,top
"R17","470k","R_0402_1005Metric",90.150000,-68.090001,-90.000000,top
"R18","120k","R_0402_1005Metric",90.150000,-70.148058,90.000000,top
"TP1","RX","PogoPin_0.96mm",79.494000,-67.599508,0.000000,top
"TP2","TX","PogoPin_0.96mm",82.542000,-67.599508,0.000000,top
"TP3","BAT+","Keystone_5230",85.900000,-46.600000,-90.000000,top
"TP4","BAT-","Keystone_5230",75.550000,-46.825000,-90.000000,top
"U1","CP2102N-Axx-xQFN24","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",74.100000,-69.200000,180.000000,top
"U2","SRV05-4","SOT-23-6",81.042000,-71.000000,0.000000,top
"U3","SY8088","SOT-23-5",87.980000,-69.210000,-90.000000,top
"U4","XC6206P18xMR","SOT-23",78.550000,-56.100000,90.000000,top
