"Comment","Designator","Footprint","LCSC Part #"
"1nF","C1","C_1206_3216Metric","C35216"
"4.7uF","C2,C5,C11,C13","C_0402_1005Metric","C23733"
"100n","C3,C4,C6","C_0402_1005Metric","C1525"
"10uF","C7,C8","C_0603_1608Metric","C19702"
"1uF","C9","C_0402_1005Metric","C52923"
"22uF","C10,C12","C_0603_1608Metric","C59461"
"RED (VBUS)","D1","LED_0603_1608Metric","C2286"
"YLW (TX)","D2","LED_0603_1608Metric","C72038"
"GRN (RX)","D3","LED_0603_1608Metric","C72043"
"WHT (VCC)","D4","LED_0603_1608Metric","C2290"
"600R@100MHz","FB1","L_0805_2012Metric","C1017"
"USB_C_Receptacle","J1","USB_Type_C_Straight_C168703","C168703"
"2.2uH","L1","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C412023"
"MMBT3904","Q1","SOT-23","C20526"
"AO3400A","Q2","SOT-23","C20917"
"100k HV","R1","R_1206_3216Metric","C17900"
"22k","R2","R_0402_1005Metric","C25768"
"47k","R3","R_0402_1005Metric","C25792"
"5.1 kR","R4,R5","R_0402_1005Metric","C25905"
"4.7k","R6","R_0402_1005Metric","C25900"
"5.1k","R7,R11,R12,R15","R_0402_1005Metric","C25905"
"10k","R8,R14","R_0402_1005Metric","C25744"
"100k","R9,R10,R13","R_0402_1005Metric","C25741"
"120k","R16,R18","R_0402_1005Metric","C25750"
"470k","R17","R_0402_1005Metric","C25790"
"CP2102N-Axx-xQFN24","U1","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","C969151"
"SRV05-4","U2","SOT-23-6","C85364"
"SY8088","U3","SOT-23-5","C479072"
"XC6206P18xMR","U4","SOT-23","C2827651"
